pairs,2006,2007,2008,2009,2010,2011,2012
"(ADS.DE, BEI.DE)",1,0,1,0,1,1,1
"(ADS.DE, DTE.DE)",0,0,1,0,1,1,1
"(ADS.DE, FME.DE)",0,0,0,0,0,1,0
"(ADS.DE, FRE.DE)",0,0,0,0,0,1,1
"(ADS.DE, HEN3.DE)",0,0,1,1,1,1,1
"(ADS.DE, IFX.DE)",0,0,1,0,1,1,1
"(ADS.DE, MRK.DE)",0,0,1,0,0,1,1
"(ADS.DE, SAP.DE)",0,0,1,1,1,1,1
"(ADS.DE, VOW.DE)",0,0,-1,0,1,1,1
"(BEI.DE, DTE.DE)",0,1,1,0,1,1,0
"(BEI.DE, FME.DE)",0,1,0,0,0,1,0
"(BEI.DE, FRE.DE)",0,1,0,0,0,1,1
"(BEI.DE, HEN3.DE)",0,1,1,1,1,1,1
"(BEI.DE, IFX.DE)",1,0,0,0,0,1,0
"(BEI.DE, MRK.DE)",0,0,0,0,0,1,1
"(BEI.DE, SAP.DE)",0,0,1,0,1,1,1
"(BEI.DE, VOW.DE)",0,0,-1,0,0,1,0
"(DTE.DE, FME.DE)",0,0,1,0,1,0,0
"(DTE.DE, FRE.DE)",0,0,1,0,0,0,0
"(DTE.DE, HEN3.DE)",0,0,1,1,1,1,0
"(DTE.DE, IFX.DE)",1,0,1,0,1,1,0
"(DTE.DE, MRK.DE)",0,0,1,0,0,1,1
"(DTE.DE, SAP.DE)",0,0,1,0,1,1,1
"(DTE.DE, VOW.DE)",0,0,-1,0,0,1,0
"(FME.DE, FRE.DE)",1,1,1,0,1,1,1
"(FME.DE, HEN3.DE)",0,0,0,0,0,1,1
"(FME.DE, IFX.DE)",0,0,0,-1,0,1,0
"(FME.DE, MRK.DE)",0,0,1,0,0,1,1
"(FME.DE, SAP.DE)",0,0,0,-1,0,1,0
"(FME.DE, VOW.DE)",0,0,-1,0,0,0,0
"(FRE.DE, HEN3.DE)",0,0,0,0,0,1,1
"(FRE.DE, IFX.DE)",0,0,0,0,0,1,0
"(FRE.DE, MRK.DE)",0,0,1,0,0,1,1
"(FRE.DE, SAP.DE)",0,0,1,0,0,1,0
"(FRE.DE, VOW.DE)",0,0,-1,0,0,0,0
"(HEN3.DE, IFX.DE)",0,0,1,0,0,1,1
"(HEN3.DE, MRK.DE)",0,0,1,0,0,1,1
"(HEN3.DE, SAP.DE)",0,0,1,0,0,1,1
"(HEN3.DE, VOW.DE)",0,0,-1,0,0,1,1
"(IFX.DE, MRK.DE)",0,0,0,0,0,1,1
"(IFX.DE, SAP.DE)",1,0,0,0,1,1,1
"(IFX.DE, VOW.DE)",0,0,-1,0,1,1,1
"(MRK.DE, SAP.DE)",0,0,1,0,0,1,1
"(MRK.DE, VOW.DE)",0,0,-1,0,0,1,0
"(SAP.DE, VOW.DE)",0,0,-1,0,0,1,1
